src_ip,dst_ip,src_port,dst_port,protocol,tos,packets,bytes,flows,start_time,end_time
10.0.0.142,192.168.1.10,7648,80,TCP,32,81347,4230044,1,1719836386,1719836386.1714
192.168.1.72,198.51.100.29,36293,123,TCP,0,2,1732,3,1719836452,1719836457.7009
192.168.1.183,10.0.0.96,50376,443,TCP,0,453,384144,3,1719836310,1719836319.1835
192.168.1.110,10.0.0.124,52982,80,TCP,32,194,73720,3,1719838354,1719838358.5708
192.168.1.85,10.0.0.79,60274,53,TCP,32,909,245430,3,1719836790,1719836794.3085
192.168.1.33,10.0.0.108,4166,39518,ICMP,64,143,34606,2,1719836611,1719836617.716
192.168.1.138,192.168.1.200,28970,123,TCP,0,790,52930,2,1719838635,1719838641.5315
192.168.1.211,192.168.1.70,13817,65475,TCP,64,678,246114,3,1719839142,1719839148.916
192.168.1.172,10.0.0.225,20676,56904,UDP,32,284,216408,3,1719835845,1719835850.2761
192.168.1.252,192.168.1.8,1386,443,TCP,16,790,90850,1,1719838053,1719838061.156
192.168.1.95,192.168.1.114,16443,80,TCP,0,440,62480,2,1719839582,1719839582.8921
192.168.1.157,192.168.1.182,62942,27515,ICMP,32,896,696192,1,1719842060,1719842062.6675
192.168.1.105,192.168.1.242,46098,80,TCP,64,339,300354,2,1719835444,1719835449.1986
192.168.1.48,192.168.1.13,31678,53,UDP,64,413,319662,1,1719835886,1719835894.1809
192.168.1.215,10.0.0.73,62190,80,UDP,16,574,384580,1,1719841581,1719841584.0691
192.168.1.28,192.168.1.236,11621,443,TCP,64,251,46435,3,1719841839,1719841842.5551
192.168.1.181,10.0.0.89,8305,53,TCP,64,43,7138,3,1719840356,1719840360.7857
192.168.1.243,198.51.100.45,11182,53,TCP,32,577,164445,2,1719839857,1719839858.1398
192.168.1.67,198.51.100.5,44589,443,TCP,16,801,651213,3,1719835484,1719835492.7161
192.168.1.75,10.0.0.137,63728,443,TCP,16,267,132966,1,1719836426,1719836429.1078
192.168.1.98,10.0.0.208,46723,123,UDP,64,352,53152,3,1719838916,1719838924.764
192.168.1.162,192.168.1.22,51833,51754,UDP,16,436,320460,3,1719836984,1719836990.8531
192.168.1.226,10.0.0.127,31822,443,TCP,64,201,77586,2,1719838405,1719838405.9175
192.168.1.219,198.51.100.48,14255,443,UDP,32,181,114030,1,1719836702,1719836709.3094
192.168.1.175,10.0.0.30,56394,80,TCP,32,746,275274,2,1719840412,1719840416.2254
192.168.1.29,198.51.100.45,46130,80,TCP,32,729,634959,3,1719840345,1719840348.7387
192.168.1.186,198.51.100.14,26262,5590,UDP,0,187,161942,2,1719842246,1719842249.6493
192.168.1.129,198.51.100.37,1196,123,UDP,64,7,1393,2,1719835571,1719835576.5857
192.168.1.247,10.0.0.163,36118,123,TCP,16,39,24297,3,1719839876,1719839885.7499
192.168.1.218,10.0.0.41,54937,30332,UDP,64,994,835954,2,1719837623,1719837632.2143
192.168.1.54,192.168.1.246,43228,53,UDP,0,125,61250,3,1719840263,1719840266.8388
192.168.1.45,192.168.1.183,55508,80,ICMP,0,618,590190,3,1719837602,1719837602.9393
192.168.1.47,192.168.1.19,29098,80,TCP,0,436,74120,1,1719840095,1719840098.3565
192.168.1.28,192.168.1.100,17464,37399,TCP,64,379,204281,1,1719840841,1719840846.2592
192.168.1.59,192.168.1.57,49233,53,UDP,0,246,154242,2,1719836177,1719836181.8071
192.168.1.34,10.0.0.150,40674,443,TCP,64,793,386984,3,1719842363,1719842371.437
192.168.1.33,10.0.0.132,34915,53,UDP,0,513,273942,1,1719839964,1719839969.4837
192.168.1.102,192.168.1.155,44707,443,UDP,16,969,872100,3,1719838790,1719838798.2729
192.168.1.33,10.0.0.82,30629,443,TCP,32,908,628336,2,1719835329,1719835335.1308
192.168.1.75,10.0.0.139,28466,123,TCP,64,721,510468,2,1719836944,1719836945.0534
192.168.1.189,10.0.0.79,4174,8991,TCP,0,268,111488,3,1719836270,1719836279.4438
192.168.1.153,192.168.1.155,54398,53,TCP,64,900,198000,2,1719836725,1719836730.6616
192.168.1.200,10.0.0.84,12638,12379,TCP,0,367,341677,1,1719837791,1719837800.5125
192.168.1.18,192.168.1.134,62727,63625,TCP,32,269,152254,3,1719840581,1719840583.1185
192.168.1.235,10.0.0.123,18453,53,TCP,32,216,108648,3,1719837702,1719837709.1838
192.168.1.169,10.0.0.93,18787,123,UDP,32,897,490659,2,1719837848,1719837857.7603
192.168.1.174,10.0.0.119,2365,123,TCP,32,902,408606,2,1719836758,1719836760.1771
192.168.1.87,10.0.0.193,50262,443,UDP,64,448,400064,3,1719839677,1719839684.3871
192.168.1.135,192.168.1.203,47175,123,TCP,0,776,94672,2,1719842296,1719842304.195
192.168.1.122,10.0.0.73,65060,53,TCP,0,853,553597,2,1719838104,1719838111.9368
192.168.1.81,10.0.0.66,18427,443,TCP,16,733,652370,3,1719837467,1719837474.7658
192.168.1.87,198.51.100.10,18464,123,UDP,32,181,83984,1,1719839173,1719839182.2336
192.168.1.180,10.0.0.115,25365,35057,TCP,16,994,135184,1,1719836685,1719836692.2411
192.168.1.225,10.0.0.210,61089,123,TCP,64,540,524880,1,1719837079,1719837086.2733
192.168.1.242,192.168.1.205,1252,123,TCP,16,147,49833,2,1719838674,1719838674.6895
192.168.1.64,192.168.1.121,21291,64818,TCP,16,911,121163,2,1719838305,1719838310.0322
192.168.1.184,10.0.0.56,9050,46221,TCP,16,329,264845,1,1719838607,1719838610.8927
